stadium_id,stadium_name,zip_code,stadium_address
hiT1ahHfEBjtdPuSXwqDrA,Citrus College Visual and Performing Arts,91741,"['1000 W Foothill Blvd', 'Glendora, CA 91741']"
ItSiKVWoYjAwywILaEG__A,Nova Brewing,91722,"['1580 W San Bernadino Rd', 'Ste H', 'Covina, CA 91722']"
Fz-iNNB57j6-N4yIvdXHtA,Float Fest: A Rose Parade Showcase,91107,"['Washington Blvd & Sierra Madre Blvd', 'Pasadena, CA 91107']"
hx3bHAhKZFC--KFffLn_8Q,Congregation Ale House - Pasadena,91105,"['300 S Raymond Ave', 'Pasadena, CA 91105']"
3ECZI0UqG-DT_qa23SqQ-w,T. Boyles Tavern,91106,"['37 N Catalina Ave', 'Pasadena, CA 91106']"
gGVjDQ3T0ylEplJFU1BiHw,San Gabriel Mission Playhouse,91776,"['320 S Mission Dr', 'San Gabriel, CA 91776']"
YMKeH-7d7Tr0EunwJR0laQ,Soccer Club for Boys - Total Futbol Academy TFA,91606,"['6810 Whitsett Ave', 'North Hollywood, CA 91606']"
sFl7FpZyCPYUhMUvxoFPFg,Turner Stadium,91042,"['10625 Plainview Ave', 'Los Angeles, CA 91042']"
tEluMEGb_iYSNhPxsJhkFw,AMC Burbank Town Center 6,91501,"['770 North 1st Street', 'Burbank, CA 91501']"
Tku1Nh3vQNc3pUOW1aC66w,AMC Burbank 16,91502,"['125 East Palm Avenue', 'Burbank, CA 91502']"
lYmWeLkQ3wSamKD8la1pgA,Regal North Hollywood,91606,"['6150 Laurel Canyon Blvd', 'Ste 200', 'North Hollywood, CA 91606']"
7BFzVBhOHAAC9ZnEGKuPcg,Starlight Bowl,91504,"['1249 Lockheed View Dr', 'Burbank, CA 91504']"
avIrHRLO4burylT_OPrzHQ,AMC Burbank Town Center 8,91501,"['201 E. Magnolia Blvd #345', 'Burbank, CA 91501']"
33rH33UJvimMl5hQ2L2A4A,The Victory Theatre Center,91505,"['3326 W Victory Blvd', 'Burbank, CA 91505']"
DTrcZwzZRH7WZuT2bE28gA,The Colony Theatre,91502,"['555 N Third St', 'Burbank, CA 91502']"
d9Qupoa645tAcb8TQ1rDxA,Memorial Field,91506,"['1920 W Clark Ave', 'Burbank, CA 91506']"
O9nGnjbMnBldgLoGqe6ZxQ,Rose Parade Route,91107,"['Sierra Madre Blvd & Colorado Blvd', 'Pasadena, CA 91107']"
hybp3zlDXTxjwZBFTCQbdg,Los Angeles Zoo & Botanical Gardens,90027,"['5333 Zoo Dr', 'Los Angeles, CA 90027']"
39O_4oAYog4GD4-VIe_DcQ,Odd Nights at the Autry,90027,"['4700 Western Heritage Way', 'Los Angeles, CA 90027']"
ESg5CYqRos18KRnNguezdg,Tavern On Brand,91203,"['208 N Brand Blvd', 'Glendale, CA 91203']"
_fv80pvtivFdXga6TZb6Eg,I Need Tickets,90039,"['Los Angeles, CA 90039']"
-kXz-ND_kQuBnOhpdlN7gA,Red Lion Tavern,90039,"['2366 Glendale Blvd', 'Los Angeles, CA 90039']"
oak4AbPlfLLmD8_qGh86Mw,Link N Hops,90039,"['3111 Glendale Blvd', 'Los Angeles, CA 90039']"
bodDHNERXIOSNx3GAonIGg,Griffith Observatory,90027,"['2800 E Observatory Rd', 'Los Angeles, CA 90027']"
On1nQsBONmWpb0C_9OR6kw,El Cid Restaurant,90029,"['4212 W Sunset Blvd', 'Los Angeles, CA 90029']"
Kxdm4l_-wwNy7pRLoAK1zw,Eat See Hear,90027,"['Los Angeles, CA 90027']"
